gold_incident_group,gold_date,gold_country,gold_function,gold_activity,top_canonical_id,top_score,second_score,score_margin,lexical_similarity,date_match,country_match,decision,rejection_reason,lsr_labels,source_document,source_page
GRP-Safety performa-P34,05 Mar 2025,netherlands,production,,OILPS_IOGP_HPE_0036,0.6,0.4,0.2,0.0,True,True,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P35,01 Sep 2025,,drilling,,OILPS_IOGP_HPE_0037,0.5006,0.1562,0.3444,0.0043,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Safe Mechanical Lifting"", ""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P36,,,,,OILPS_IOGP_HPE_0042,0.008,0.008,0.0,0.0531,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P37,02 Apr 2025,,production,,OILPS_IOGP_HPE_0039,0.47,0.1724,0.2976,0.4668,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P38,29 Aug 2025,,production,,OILPS_IOGP_HPE_0040,0.4,0.1565,0.2435,0.0,True,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P39,02 Jul 2025,,construction,,OILPS_IOGP_HPE_0041,0.5,0.15,0.35,0.0,True,False,AMBIGUOUS,Margin below 0.15 or low score,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P40,,,,,OILPS_IOGP_HPE_0030,0.009,0.0082,0.0008,0.0602,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P41,,,,,OILPS_IOGP_HPE_0028,0.0068,0.006,0.0008,0.0451,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P42,,,,,OILPS_IOGP_HPE_0011,0.0082,0.0067,0.0015,0.0545,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Energy Isolation"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P43,03 Mar 2024,,drilling,,OILPS_IOGP_HPE_0001,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P44,30 Jul 2024,,production,,OILPS_IOGP_HPE_0007,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P45,07 May 2025,,,,OILPS_IOGP_HPE_0046,0.2531,0.2529,0.0002,0.0204,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P46,05 Feb 2025,,drilling,,OILPS_IOGP_HPE_0049,0.4,0.15,0.25,0.0,True,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P47,20 Sep 2025,,drilling,,OILPS_IOGP_HPE_0050,0.4,0.25,0.15,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2025 data.pdf,
GRP-Safety performa-P48,08 Apr 2025,,production,,OILPS_IOGP_HPE_0051,0.4,0.4,0.0,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P49,01 Apr 2024,,,,OILPS_IOGP_SPI_0175,0.0062,0.0061,0.0001,0.041,False,False,REJECTED,Insufficient evidence,"[""Driving"", ""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P5,13 Mar 2025,,drilling,,OILPS_IOGP_HPE_0001,0.4,0.25,0.15,0.0,True,False,REJECTED,Insufficient evidence,"[""Driving"", ""Bypassing Safety Controls"", ""Line of Fire""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P50,,,,,OILPS_IOGP_HPE_0020,0.0108,0.0086,0.0022,0.0717,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Working at Height"", ""Confined Space""]",Safety performance indicators – 2024 data.pdf,
