source_record_id,max_score,second_score,score_margin,predicted_label_count,predicted_labels,confidence,decision,provenance,lsr_prob_bypassing_safety_controls,lsr_prob_confined_space,lsr_prob_driving,lsr_prob_energy_isolation,lsr_prob_hot_work,lsr_prob_line_of_fire,lsr_prob_safe_mechanical_lifting,lsr_prob_work_authorization,lsr_prob_working_at_height
20181112243,0.9998,0.0294,0.9704,1,Energy Isolation,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0086,0.0294,0.0001,0.9998,0.0047,0.0017,0.0003,0.001,0.0003
20181112247,0.9799,0.0644,0.9155,1,Safe Mechanical Lifting,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0,0.0,0.0194,0.0,0.0001,0.0005,0.9799,0.0003,0.0644
20181112264,0.408,0.3787,0.0293,2,Safe Mechanical Lifting | Working at Height,LOW,REJECTED_LOW_CONFIDENCE,UNKNOWN,0.0006,0.0104,0.1345,0.0755,0.0486,0.0008,0.408,0.0585,0.3787
20181212352,0.0897,0.0157,0.074,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0055,0.0,0.0157,0.0897,0.0002,0.0,0.0018,0.0002
20181212395,0.0105,0.0082,0.0023,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0003,0.0001,0.0082,0.0006,0.0002,0.0105,0.0017,0.0074
20181212428,0.0193,0.0018,0.0175,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0002,0.0005,0.0001,0.0193,0.0007,0.0011,0.0018,0.0003,0.0001
20181212440,0.9983,0.7761,0.2222,2,Safe Mechanical Lifting | Working at Height,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0001,0.0,0.0576,0.0005,0.0085,0.0563,0.9983,0.0007,0.7761
20181212466,0.0546,0.023,0.0316,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.003,0.0005,0.0,0.0008,0.023,0.0001,0.0546
20181212517,0.1141,0.0082,0.1059,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0003,0.0001,0.0011,0.0014,0.0046,0.0082,0.0005,0.1141
20181212518,0.8041,0.4831,0.321,2,Energy Isolation | Safe Mechanical Lifting,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0003,0.0004,0.003,0.8041,0.0044,0.0009,0.4831,0.0015,0.0004
20181212537,0.1516,0.0373,0.1143,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0,0.003,0.0,0.0001,0.1516,0.0373,0.0,0.0006
20181212606,0.0013,0.0007,0.0006,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0007,0.0001,0.0013,0.0003,0.0,0.0002
20181212623,0.7986,0.4159,0.3827,2,Energy Isolation | Working at Height,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0026,0.0077,0.0126,0.7986,0.0041,0.0002,0.0171,0.0346,0.4159
20181212625,0.0309,0.0148,0.0161,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0002,0.0002,0.0001,0.0148,0.0001,0.0017,0.0309,0.0005,0.003
20181212633,0.1438,0.0285,0.1153,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0003,0.0,0.1438,0.0119,0.001,0.0285,0.0002,0.0
20181212701,0.0482,0.0471,0.0011,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0003,0.0002,0.0,0.0482,0.0001,0.0,0.0471
20181212705,0.9981,0.2811,0.717,2,Safe Mechanical Lifting | Working at Height,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0005,0.0005,0.0175,0.0406,0.0087,0.0398,0.9981,0.0048,0.2811
20181212715,0.0614,0.0164,0.045,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0009,0.0001,0.0614,0.0164,0.0004,0.0016,0.0008,0.0148
20181212741,0.0005,0.0003,0.0002,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0,0.0,0.0005,0.0003,0.0001,0.0,0.0,0.0
20181212793,0.9106,0.01,0.9006,1,Energy Isolation,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0009,0.0003,0.0001,0.9106,0.0007,0.0079,0.01,0.0001,0.0004
20181212843,0.9936,0.0094,0.9842,1,Energy Isolation,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0049,0.0034,0.0004,0.9936,0.0001,0.0094,0.0007,0.0004,0.0012
20181212860,0.9973,0.0751,0.9222,1,Driving,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0058,0.0069,0.9973,0.0017,0.0014,0.0023,0.0003,0.0052,0.0751
20181212873,0.1168,0.0037,0.1131,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0002,0.003,0.0003,0.0037,0.0001,0.1168,0.0029,0.0005
20181212989,0.9003,0.8757,0.0246,3,Safe Mechanical Lifting | Energy Isolation | Driving,MEDIUM,SENT_TO_HUMAN_REVIEW,UNKNOWN,0.0335,0.011,0.3774,0.8757,0.0007,0.1061,0.9003,0.0145,0.0077
20181212992,0.9944,0.0595,0.9349,1,Hot Work,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0001,0.0129,0.0001,0.007,0.9944,0.0021,0.0595,0.0083,0.0
20181213018,0.1481,0.0013,0.1468,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0003,0.0,0.1481,0.0003,0.0002,0.0,0.0,0.0013
